docno,text
1907853188180451537,"Reports today say an Israeli airstrike on a school in #Gaza that was sheltering families has killed 27 people, including women and children, as rescuers search for any survivors."
1907853057846612400,"@NBA In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907852955400720881,"@NBA In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907852861133766870,"@CassidyHubbarth In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907852724684652867,"@jtimberlake In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907852620435468697,"@ReeseW @TKJaayy In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907852511350034797,"@joshhart In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907852384941871411,"@halleberry In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907852313068278039,"@jessicaalba In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907852203286503640,"@LaurenLondon @PUMA @FinishLine @Shiekh @dtlrofficial In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907852038723002663,"@mamashchamuda @MaxNordau I have never seen a people as bloodthirsty as the Israelis. 
Since October 2023, at least 50,021 Palestinians have been killed in Gaza, according to the Ministry of Health. Among them 14,770 were children…is this fake ? Source : unicef and reuters 
Israel is a criminal state"
1907851886075457740,"@carmeloanthony In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907851791158358203,"@JHarden13 In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907851744589070587,"@kylekuzma In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907851652134220202,"@Lakers In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907851602871959570,"@boardroom @KDTrey5 @QuavoStuntin In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
1907851520986521871,"@KingJames @carmeloanthony In this world, we support the killers of children and women, the thieves of the land. The people of Gaza are being killed and exterminated, and America supports the massacres. I speak to you in the name of humanity, for the sake of everything that is sacred. Stop killing"
